"Name","Price"
"Long Beach Suites Dhaka ","BDT 6,916"
"THE WAY Dhaka ","BDT 7,582"
"Contemporary Heights Hotel and Apartments ","BDT 3,098"
"After Hours Residence ","BDT 4,729"
"Hotel 71 ","BDT 3,102"
"Pacific Lake View Hotel & Resort Ltd ","BDT 2,670"
"Hotel the Rahamania International ","BDT 3,593"
"Best Western Plus Maple Leaf ","BDT 6,780"
"Hotel The Sylhet Int. ","BDT 1,589"
"Marino Hotel - Best near Airport ","BDT 2,746"
"Priyo Nibash Stylish Residential Hotel ","BDT 2,797"
"Hotel Grand Circle Inn ","BDT 2,966"
"Golden Tulip - The Grandmark Dhaka ","BDT 6,707"
"Civic Inn ","BDT 2,910"
"Hotel Sarina ","BDT 6,293"
"Hotel Zakaria International ","BDT 6,780"
"Amari Dhaka ","BDT 8,341"
"Hotel Fountain ","BDT 3,560"
"Grand Oriental Hotel ","BDT 4,034"
"Renaissance Dhaka Gulshan Hotel ","BDT 12,289"
"Hotel Lake Castle ","BDT 6,441"
"Marino Royal Hotel ","BDT 4,393"
"Asia Hotel & Resorts ","BDT 4,153"
"Sel Nibash Hotel & Serviced Apartments ","BDT 2,811"
"Hotel Seven Star ","BDT 1,271"
